ID,ITEM NAME,ITEM TYPE,ITEM CODE,SALE PRICE,SALE DISCOUNT RATE,SALE DISCOUNT PRICE,SALE DISCOUNT MODE,CURRENT STOCK,IS PUBLIC,PROPERTY:Colour,PROPERTY:Fabric,PROPERTY:Feeding Maxi,PROPERTY:Neck,PROPERTY:Size,PROPERTY:Skirt Length,PROPERTY:Sleeve Type,PROPERTY:Total Length,PROPERTY:__category
"162","Dolly","Ready to Wear Blouses","DOLLYDENIMX","690.00","25.00","172.50","rate","65.0","True","Denim",,,,"XS",,,,
"163","Dolly","Ready to Wear Blouses","DOLLYDENIMM","690.00","25.00","172.50","rate","9.0","True","Denim",,,,"M",,,,
"164","Dolly","Ready to Wear Blouses","DOLLYBLACKX","690.00","25.00","172.50","rate","45.0","True","Black",,,,"XS",,,,
"165","Dolly","Ready to Wear Blouses","DOLLYDENIML","690.00","25.00","172.50","rate","67.0","True","Denim",,,,"L",,,,
"166","Dolly","Ready to Wear Blouses","DOLLYDENIMS","690.00","25.00","172.50","rate","49.0","True","Denim",,,,"S",,,,
"167","Dolly","Ready to Wear Blouses","DOLLYBLACKXL","690.00","25.00","172.50","rate","11.0","True","Black",,,,"XL",,,,
"168","Dolly","Ready to Wear Blouses","DOLLYBLACKS","690.00","25.00","172.50","rate","","True","Black",,,,"S",,,,
"169","Dolly","Ready to Wear Blouses","DOLLYBLACKL","690.00","25.00","172.50","rate","7.0","True","Black",,,,"L",,,,
"170","Dolly","Ready to Wear Blouses","DOLLYBLACKM","690.00","25.00","172.50","rate","","True","Black",,,,"M",,,,
"171","Dolly","Ready to Wear Blouses","DOLLYATGOLDS","690.00","25.00","172.50","rate","7.0","True","Antique Gold",,,,"S",,,,
"172","Dolly","Ready to Wear Blouses","DOLLYATGOLDXL","690.00","25.00","172.50","rate","101.0","True","Antique Gold",,,,"XL",,,,
"173","Dolly","Ready to Wear Blouses","DOLLYATGOLDX","690.00","25.00","172.50","rate","45.0","True","Antique Gold",,,,"XS",,,,
"174","Dolly","Ready to Wear Blouses","DOLLYATGOLDM","690.00","25.00","172.50","rate","10.0","True","Antique Gold",,,,"M",,,,
"175","Mango","Saree Contours","YX02","1190.00","25.00","297.50","rate","81.0","True","Mango",,,,"Skinny","Mini",,,"Saree Contours"
"176","Mango","Saree Contours","YX03","1190.00","25.00","297.50","rate","45.0","True","Mango",,,,"Skinny","Maxi",,,"Saree Contours"
"177","Dolly","Ready to Wear Blouses","DOLLYATGOLDL","690.00","25.00","172.50","rate","88.0","True","Antique Gold",,,,"L",,,,
"178","Mango","Saree Contours","YS03","1190.00","25.00","297.50","rate","45.0","True","Mango",,,,"Skubby","Maxi",,,"clearout,Saree Contours"
"179","Mango","Saree Contours","YX01","1190.00","25.00","297.50","rate","37.0","True","Mango",,,,"Skinny","Micro",,,"Saree Contours"
"180","Mango","Saree Contours","YS02","1190.00","25.00","297.50","rate","40.0","True","Mango",,,,"Skubby","Mini",,,"clearout,Saree Contours"
"181","Mango","Saree Contours","YS01","1190.00","25.00","297.50","rate","51.0","True","Mango",,,,"Skubby","Micro",,,"Saree Contours"
"182","Mango","Saree Contours","YM03","1190.00","25.00","297.50","rate","","True","Mango",,,,"Plumpy","Maxi",,,"Saree Contours"
"183","Mango","Saree Contours","YM02","1190.00","25.00","297.50","rate","59.0","True","Mango",,,,"Plumpy","Mini",,,"clearout,Saree Contours"
"184","Mango","Saree Contours","YM01","1190.00","25.00","297.50","rate","22.0","True","Mango",,,,"Plumpy","Micro",,,"Saree Contours"
"185","Mango","Saree Contours","YL02","1190.00","25.00","297.50","rate","","True","Mango",,,,"Chunky","Mini",,,"Saree Contours"
"186","Mango","Saree Contours","YL03","1190.00","25.00","297.50","rate","","True","Mango",,,,"Chunky","Maxi",,,"Saree Contours"
"187","Maroon","Saree Contours","MX03","1190.00","25.00","297.50","rate","20.0","True","Garnet",,,,"Skinny","Maxi",,,"clearout,Saree Contours"
"188","Maroon","Saree Contours","MX02","1190.00","25.00","297.50","rate","","True","Garnet",,,,"Skinny","Mini",,,"Saree Contours"
"189","Mango","Saree Contours","YL01","1190.00","25.00","297.50","rate","5.0","True","Mango",,,,"Chunky","Micro",,,"Saree Contours"
"190","Maroon","Saree Contours","GARS03","1190.00","25.00","297.50","rate","","True","Garnet",,,,"Skubby","Maxi",,,"Saree Contours"
"191","Maroon","Saree Contours","MS03","1190.00","25.00","297.50","rate","","True","Garnet",,,,"Skubby","mini",,,"Saree Contours"
"192","Maroon","Saree Contours","MX01","1190.00","25.00","297.50","rate","26.0","True","Garnet",,,,"Skinny","Micro",,,"clearout,Saree Contours"
"193","Maroon","Saree Contours","MS01","1190.00","25.00","297.50","rate","15.0","True","Garnet",,,,"Skubby","Micro",,,"Saree Contours"
"194","Maroon","Saree Contours","MM03","1190.00","25.00","297.50","rate","","True","Garnet",,,,"Plumpy","Maxi",,,"Saree Contours"
"195","Maroon","Saree Contours","MM01","1190.00","25.00","297.50","rate","21.0","True","Garnet",,,,"Plumpy","Micro",,,"Saree Contours"
"196","Maroon","Saree Contours","ML03","1190.00","25.00","297.50","rate","","True","Garnet",,,,"Chunky","Maxi",,,"Saree Contours"
"197","Maroon","Saree Contours","MM02","1190.00","25.00","297.50","rate","","True","Garnet",,,,"Plumpy","Mini",,,"Saree Contours"
"198","Maroon","Saree Contours","ML02","1190.00","25.00","297.50","rate","","True","Garnet",,,,"Chunky","Mini",,,"Saree Contours"
"199","Maroon","Saree Contours","ML01","1190.00","25.00","297.50","rate","1.0","True","Garnet",,,,"Chunky","Micro",,,"clearout,Saree Contours"
"200","Glacier","Saree Contours","GLACIX03","1190.00","25.00","297.50","rate","2.0","True","Glacier",,,,"Skinny","Maxi",,,"Saree Contours,clearout"
"201","Glacier","Saree Contours","GLACIS02","1190.00","25.00","297.50","rate","","True","Glacier",,,,"Skubby","Mini",,,"Saree Contours"
"202","Glacier","Saree Contours","GLACIX01","1190.00","25.00","297.50","rate","4.0","True","Glacier",,,,"Skinny","Micro",,,"Saree Contours"
"203","Glacier","Saree Contours","GLACIX02","1190.00","25.00","297.50","rate","","True","Glacier",,,,"Skinny","Mini",,,"Saree Contours"
"204","Glacier","Saree Contours","GLACIS03","1190.00","25.00","297.50","rate","","True","Glacier",,,,"Skubby","Maxi",,,"Saree Contours"
"205","Glacier","Saree Contours","GLACIS01","1190.00","25.00","297.50","rate","52.0","True","Glacier",,,,"Skubby","Micro",,,"Saree Contours"
"206","Glacier","Saree Contours","GLACIM03","1190.00","25.00","297.50","rate","","True","Glacier",,,,"Plumpy","Maxi",,,"Saree Contours"
"207","Glacier","Saree Contours","GLACIM01","1190.00","25.00","297.50","rate","36.0","True","Glacier",,,,"Plumpy","Micro",,,"Saree Contours,clearout"
"208","Glacier","Saree Contours","GLACIL03","1190.00","25.00","297.50","rate","","True","Glacier",,,,"Chunky","Maxi",,,"Saree Contours"
"209","Glacier","Saree Contours","GLACIL02","1190.00","25.00","297.50","rate","1.0","True","Glacier",,,,"Chunky","Mini",,,"Saree Contours"
"210","Glacier","Saree Contours","GLACIM02","1190.00","25.00","297.50","rate","","True","Glacier",,,,"Plumpy","Mini",,,"Saree Contours"
"211","Glacier","Saree Contours","GLACIL01","1190.00","25.00","297.50","rate","4.0","True","Glacier",,,,"Chunky","Micro",,,"clearout,Saree Contours"
"223","Lining Skirt Nude","Saree Contours","LSNX","890.00","35.00","311.50","rate","","True","Nude",,,,"Skinny",,,,"Saree Contours"
